"PLANET_NUMBER";"p_name";"Star_key";"MASS";"density (earth)";"relative radius";"Terrain Type";"Type_climate"
922;"Ebla Cerberian";9039;1.5;1.224;1.07;"vine, forest";"subartic, temperate"
923;"Ebla Persephonian";9039;1.09;1.359;0.93;"plateau, rocky canyon, grassland";"subartic, hot, temperate, superheated"
924;"Ebla Gaios";9039;3.34;1.161;1.42;"jungle";"hot, windy, subartic"
925;"Ebla Hestian";9039;9.98;1.024;2.14;"cave, plateau, island, urban";"humid, frigid, windy, temperate"
926;"Ra's Whisper Sigma";7157;0.36;0.897;0.74;"field, plateau, cave, jungle, hill, glacier, desert, lava river";"hot, artificial temperate, frigid, subartic, arid"
927;"Ra's Whisper Nu";7157;3.66;0.904;1.59;"sea, mountain, city, plateau, island";"frozen, rocky, humid, artificial temperate"
928;"Misam IX";515;4.93;0.945;1.73;"field, cliff, vine";"arid, artificial temperate"
929;"Gakyid Octal";9762;6.49;1.077;1.82;"ash, river";"hot, artificial temperate"
930;"Geminga Vigesimal";4957;3.27;0.642;1.72;"verdant, ice canyon, hill";"frozen, superheated, subartic"
931;"Geminga Undecimal";4957;unknown;1.048;0.81;"glacier, island";"frigid"
932;"Anubis Serenity Tritonian";5443;1.44;0.984;1.14;"cliff, cityscape";"tropical, frozen, hot"
933;"Anubis Serenity Selenean";5443;2.35;0.536;1.64;"sinkholes, lakes, bog, lava river";"arid, hot, windy, temperate"
934;"Wazn Wu";6037;4.72;1.013;1.67;"hill";"humid"
935;"Wazn Ba";6037;3.62;0.591;1.83;"city, cliff, cave, ice canyon, ocean, rocky canyon, savanna, barren, verdant, rainforest";"tropical, humid, frigid, temperate, artificial temperate, arid, superheated"
936;"Wazn Si";6037;unknown;1.018;1.44;"cliff, toxic cloudsea";"hot, frozen, temperate, rocky, windy, artic"
937;"Wazn Shi";6037;3.51;1.056;1.49;"ocean";"artificial temperate, humid"
938;"Blizzardclaw Jiu";9215;1.92;1.135;1.19;"verdant, cityscape";"subartic, windy"
939;"Blizzardclaw Yi";9215;0.52;0.774;0.88;"hill, cliff, rock arche";"artificial temperate, humid"
940;"Mpingo Apollox";8904;2.36;0.962;1.35;"plateau, sea, field";"artic, subartic, artificial temperate, windy, frozen, humid, superheated"
941;"Symbionara Kappa";9067;0.51;1.024;0.79;"sea, hill";"hot, humid, rocky, artificial temperate"
942;"Násti Mu";9530;6.73;0.999;1.89;"cave, vine, glacier, savanna, cliff";"artic, rocky, tropical, frozen"
943;"Násti Alpha";9530;1.2;0.868;1.11;"lakes, forest";"temperate"
944;"Sualocin Persephonian";128;5.53;1.389;1.58;"acid pool";"temperate, rocky, frozen"
945;"Nocturne Echo XII";4768;1.84;0.846;1.3;"vine, volcano, jungle, field, ice cave, canyons, river";"tropical, arid, rocky, temperate, frozen"
946;"Nocturne Echo X";4768;0.73;1.343;0.82;"lakes, cityscape, reef";"arid, artificial temperate, rocky"
947;"Nocturne Echo XXI";4768;9.68;0.877;2.23;"rock arche, desert, rainforest";"arid, tropical, subartic, temperate"
948;"Nocturne Echo III";4768;4.67;1.441;1.48;"barren, cave";"arid, frozen, frigid, superheated"
949;"Sylvarix Hecatean";3562;3.85;1.085;1.53;"lakes, ocean, acid pool";"rocky, artificial temperate"
950;"Kaus Media Prime";1384;2.54;0.903;1.41;"ocean, sea, bog, cliff, vine";"frozen, frigid, windy, temperate"
951;"Kaus Media Undecimal";1384;unknown;1.294;1.5;"verdant, rocky canyon";"tropical, arid"
952;"Kaus Media Sextant";1384;3.35;0.412;2.01;"canyons, rocky canyon";"temperate, humid, arid"
953;"Arcadian Whispers Duodecimal";9167;7.4;1.027;1.93;"rocky island, swamp, sea";"humid, rocky"
954;"Arcadian Whispers Quintal";9167;3.22;1.051;1.45;"grassy hill, savanna, city";"tropical, temperate, artificial temperate"
955;"Arcadian Whispers Quartal";9167;1.86;0.726;1.37;"scrubland, volcano";"superheated, artificial temperate, arid"
956;"Nembus XX";1130;3.18;1.603;1.26;"cave, cliff, plateau, valley";"frigid, hot, tropical"
957;"Nembus I";1130;3.51;0.621;1.78;"bog, hill, canyons, field, urban, ocean";"humid, rocky, superheated, artic, artificial temperate, arid"
958;"Aozora Nebula II";3103;2.3;1.343;1.2;"rainforest, cave";"superheated"
959;"Aozora Nebula I";3103;8.5;1.109;1.97;"vine, valley, field";"temperate, tropical"
960;"Algedi Nyxios";1125;2.44;1.312;1.23;"acid pool, jungle, toxic cloudsea";"humid, artificial temperate, temperate, frozen, frigid, arid, tropical"
961;"Angetenar Theta";1379;7.78;1.418;1.76;"cave";"frigid"
962;"Stellarastrum XXIV";2880;0.89;0.542;1.18;"forest, plateau, grassland, glacier, ice cave";"artic, windy, tropical, frozen, humid, superheated"
963;"Starglow Spectra VI";9046;1.91;0.873;1.3;"island, cityscape";"arid, tropical"
964;"Crimson Void San";8410;2.77;1.16;1.34;"river, desert, sinkholes";"hot, arid, tropical, artificial temperate, humid, windy"
965;"Crimson Void Liu";8410;1.74;1.061;1.18;"plateau, lakes";"hot, artificial temperate, rocky"
966;"Crimson Void Shi";8410;7.88;0.719;2.22;"ocean, plateau, sea";"tropical, subartic, artic, frozen, arid"
967;"Crimson Void Wu";8410;9.3;1.024;2.09;"rocky desert, plateau";"arid, temperate, superheated, windy, subartic"
968;"Koi's Ascendance XX";2765;1.91;0.486;1.58;"ice cave, jungle, desert, tundra, canyons";"rocky, subartic, tropical, artic"
969;"Veritate Secant";117;3.51;0.827;1.62;"city, rocky island, plateau";"rocky, humid"
970;"Veritate Nonal";117;8.15;0.437;unknown;"cliff, field, jungle, verdant";"subartic, rocky, tropical"
971;"Hanami Echo XVIII";2191;5.47;0.91;1.82;"rocky canyon";"tropical, humid, subartic"
972;"Stellaria Whimsy San";2220;2.71;0.671;1.59;"canyons, field, city, glacier, plain";"temperate, frigid, frozen"
973;"Stellaria Whimsy Yi";2220;6.16;0.898;1.9;"verdant, rock arche, forest, jungle, tundra";"temperate, windy, artificial temperate, humid, arid, rocky, tropical"
974;"Yildun Octal";3871;6.57;0.59;2.23;"verdant, ice canyon, glacier";"arid, subartic"
975;"Penumbralix XXIV";4864;3.47;1.321;1.38;"cave, forest";"artificial temperate, rocky, artic"
976;"Crimson Enigma Museios";8990;8.8;1.065;2.02;"toxic cloudsea, volcano, lakes, cave, barren, mountain, rocky island, island";"rocky, humid, frozen, arid, tropical"
977;"Izar Pantheon";9327;2.6;1.175;1.3;"city, plateau, glacier, ice canyon";"artic, tropical, frozen, humid"
978;"Muscida Sigma";8716;6.9;0.926;1.95;"plateau, toxic cloudsea";"temperate, arid, frozen, rocky, humid, windy"
979;"Muscida Theta";8716;1.27;0.95;1.1;"valley, toxic cloudsea, bog";"superheated, frozen, arid, temperate, windy, artic"
980;"Muscida Chi";8716;3.7;1.17;1.47;"lava river";"superheated"
981;"Muscida Mu";8716;9.09;0.961;2.11;"grassland, island";"temperate, subartic"
982;"Reikon Resonance Ba";8415;0.92;1.047;0.96;"cliff, tundra, plateau";"windy, artic, frigid"
983;"Minchir Nyxios";5196;8.02;1.21;1.88;"verdant";"frigid, rocky"
984;"Flegetonte Alpha";1936;0.67;0.402;1.19;"rocky desert, hill, ice cave, rainforest, canyons, city";"superheated, frozen, humid, artificial temperate"
985;"Zosma XV";7959;1.6;0.957;1.19;"mountain";"artificial temperate, superheated"
986;"Ecliptara Undecimal";3551;0.69;0.885;0.92;"ocean, hill";"temperate, frozen, rocky, humid"
987;"Ecliptara Octal";3551;8;0.819;2.14;"cave, rocky desert, ocean, field, vine";"tropical, subartic, arid, rocky"
988;"Ecliptara Vigesimal";3551;1.03;0.837;1.07;"tundra, jungle";"rocky, arid, hot, windy, tropical"
989;"Algieba IX";1034;2.34;1.105;1.28;"island, plain, swamp";"humid, artic, temperate"
990;"Algieba II";1034;5.31;0.857;1.84;"cityscape, island, glacier, hill";"tropical, frigid, humid"
991;"Sadachbia Decimal";5636;1.8;1.429;1.08;"jungle, cliff, plateau";"humid, frigid, hot, temperate, artificial temperate"
992;"Zephyriax Ba";4819;3.07;1.081;1.42;"toxic cloudsea";"subartic, artic, hot, frozen, arid, superheated"
993;"Markab Alpha";5329;7.68;1.09;1.92;"fungus forest, jungle, sea, valley, verdant, cave";"frozen, frigid, arid, humid, hot"
994;"Novaflare Olympus";4362;3.13;0.593;1.74;"ash, plain";"hot, frigid, superheated, tropical"
995;"Novaflare Persephonian";4362;5.36;0.897;1.81;"island, plain, toxic cloudsea, verdant";"windy, arid, frigid, artic, rocky"
996;"Novaflare Typhonian";4362;8.3;0.674;2.31;"field, hill, river, plateau, cityscape";"frigid, frozen, hot, superheated"
997;"Cryptic Mirage Jiu";7822;2.49;0.859;1.43;"ice cave, rainforest, grassy hill, cityscape, tundra, ocean";"windy, arid, subartic, frigid, tropical, hot"
998;"Cryptic Mirage Yi";7822;unknown;0.872;1.88;"city, savanna, mountain";"tropical, windy, hot, artificial temperate"
999;"Karaka VI";8858;1.78;1.158;1.15;"acid pool";"tropical, rocky, humid, subartic, hot"
1000;"Karaka XV";8858;unknown;1.644;unknown;"plain";"superheated, rocky, temperate, artic"
1001;"Cosmic Enigma Persephonian";8128;1.17;1.011;1.05;"sinkholes, savanna, valley, plateau, reef";"rocky, arid, hot, subartic"
1002;"Cosmic Enigma Orphean";8128;4.9;1.335;1.54;"cityscape, acid pool, glacier";"hot, artic, frigid"
1003;"Cosmic Enigma Museios";8128;1.25;0.818;1.15;"canyons, grassland, urban, vine, cityscape, glacier, rocky desert";"temperate, artic, subartic, rocky, frozen"
